strain	virus	date	accession_id	region	country	province	division	location
hCoV_19_Madagascar_LA2M_113187_2021_EPI_ISL_7722772_2021_07_16	sars_cov_2	2020-09-30	EPI_ISL_3716647	Africa	Madagascar	Toliara	Atsimo-Andrefana	Toliara-I
hCoV_19_Madagascar_LA2M_113458_2021_EPI_ISL_7722776_2021_07_18	sars_cov_2	2021-02-23	EPI_ISL_3716710	Africa	Madagascar	Toliara	Atsimo-Andrefana	Toliara-I
hCoV_19_Madagascar_LA2M_113470_2021_EPI_ISL_7722781_2021_07_18	sars_cov_2	2021-02-23	EPI_ISL_3716711	Africa	Madagascar	Toliara	Atsimo-Andrefana	Toliara-I
hCoV_19_Madagascar_LA2M_113471_2021_EPI_ISL_7722786_2021_07_18	sars_cov_2	2021-02-23	EPI_ISL_3716842	Africa	Madagascar	Toliara	Atsimo-Andrefana	Toliara-I
hCoV_19_Madagascar_LA2M_113472_2021_EPI_ISL_7722790_2021_07_18	sars_cov_2	2021-03-12	EPI_ISL_4297632	Africa	Madagascar	Toliara	Atsimo-Andrefana	Toliara-I
hCoV_19_Madagascar_IPM_61901_2021_EPI_ISL_7722795_2021_04_30	sars_cov_2	2021-03-26	EPI_ISL_4297643	Africa	Madagascar	Toliara	Atsimo-Andrefana	Toliara-I
hCoV_19_Madagascar_IPM_61943_2021_EPI_ISL_7722800_2021_05_03	sars_cov_2	2021-03-29	EPI_ISL_4297644	Africa	Madagascar	Toliara	Atsimo-Andrefana	Toliara-I
hCoV_19_Madagascar_IPM_61949_2021_EPI_ISL_7722805_2021_05_03	sars_cov_2	2021-03-29	EPI_ISL_4297645	Africa	Madagascar	Toliara	Atsimo-Andrefana	Toliara-I
hCoV_19_Madagascar_IPM_61960_2021_EPI_ISL_7722809_2021_05_04	sars_cov_2	2021-04-12	EPI_ISL_4297650	Africa	Madagascar	Toliara	Atsimo-Andrefana	Toliara-I
hCoV_19_Madagascar_IPM_62034_2021_EPI_ISL_7722814_2021_05_06	sars_cov_2	2020-07-05	EPI_ISL_3716506	Africa	Madagascar	Toliara	Atsimo-Andrefana	Toliara-II
hCoV_19_Madagascar_LA2M_112925_2021_EPI_ISL_7722819_2021_07_15	sars_cov_2	2020-08-19	EPI_ISL_3716591	Africa	Madagascar	Toliara	Atsimo-Andrefana	Toliara-II
hCoV_19_Madagascar_LA2M_112974_2021_EPI_ISL_7722822_2021_07_15	sars_cov_2	2020-08-31	EPI_ISL_3716610	Africa	Madagascar	Toliara	Atsimo-Andrefana	Toliara-II
hCoV_19_Madagascar_LA2M_113191_2021_EPI_ISL_7722826_2021_07_16	sars_cov_2	2020-05-25	EPI_ISL_3716417	Africa	Madagascar	Antananarivo	Bongolava	Tsiroanomandidy
hCoV_19_Madagascar_LA2M_113223_2021_EPI_ISL_7722830_2021_07_16	sars_cov_2	2020-07-09	EPI_ISL_3716518	Africa	Madagascar	Antananarivo	Bongolava	Tsiroanomandidy
hCoV_19_Madagascar_LA2M_113457_2021_EPI_ISL_7722834_2021_07_18	sars_cov_2	2020-07-24	EPI_ISL_3716545	Africa	Madagascar	Antananarivo	Bongolava	Tsiroanomandidy
hCoV_19_Madagascar_LA2M_113469_2021_EPI_ISL_7722838_2021_07_18	sars_cov_2	2020-07-22	EPI_ISL_3716546	Africa	Madagascar	Antananarivo	Bongolava	Tsiroanomandidy
hCoV_19_Madagascar_IPM_61899_2021_EPI_ISL_7722839_2021_04_30	sars_cov_2	2020-07-23	EPI_ISL_3716547	Africa	Madagascar	Antananarivo	Bongolava	Tsiroanomandidy
hCoV_19_Madagascar_IPM_61936_2021_EPI_ISL_7722840_2021_05_03	sars_cov_2	2020-07-20	EPI_ISL_3716548	Africa	Madagascar	Antananarivo	Bongolava	Tsiroanomandidy
hCoV_19_Madagascar_IPM_62072_2021_EPI_ISL_7722841_2021_05_07	sars_cov_2	2020-07-20	EPI_ISL_3716549	Africa	Madagascar	Antananarivo	Bongolava	Tsiroanomandidy
hCoV_19_Madagascar_IPM_62094_2021_EPI_ISL_7722842_2021_05_07	sars_cov_2	2020-07-26	EPI_ISL_3716551	Africa	Madagascar	Antananarivo	Bongolava	Tsiroanomandidy
hCoV_19_Madagascar_IPM_62103_2021_EPI_ISL_7722843_2021_05_10	sars_cov_2	2020-07-28	EPI_ISL_3716554	Africa	Madagascar	Antananarivo	Bongolava	Tsiroanomandidy
hCoV_19_Madagascar_IPM_62142_2021_EPI_ISL_7722844_2021_05_11	sars_cov_2	2020-07-31	EPI_ISL_3716563	Africa	Madagascar	Antananarivo	Bongolava	Tsiroanomandidy
hCoV_19_Madagascar_IPM_62156_2021_EPI_ISL_7722845_2021_05_11	sars_cov_2	2020-07-30	EPI_ISL_3716564	Africa	Madagascar	Antananarivo	Bongolava	Tsiroanomandidy
hCoV_19_Madagascar_IPM_62159_2021_EPI_ISL_7722846_2021_05_11	sars_cov_2	2020-07-29	EPI_ISL_3716565	Africa	Madagascar	Antananarivo	Bongolava	Tsiroanomandidy
hCoV_19_Madagascar_IPM_62160_2021_EPI_ISL_7722847_2021_05_11	sars_cov_2	2020-08-07	EPI_ISL_3716575	Africa	Madagascar	Antananarivo	Bongolava	Tsiroanomandidy
hCoV_19_Madagascar_IPM_62176_2021_EPI_ISL_7722848_2021_05_11	sars_cov_2	2020-08-12	EPI_ISL_3716578	Africa	Madagascar	Antananarivo	Bongolava	Tsiroanomandidy
hCoV_19_Madagascar_IPM_62187_2021_EPI_ISL_7722849_2021_05_11	sars_cov_2	2020-08-08	EPI_ISL_3716579	Africa	Madagascar	Antananarivo	Bongolava	Tsiroanomandidy
hCoV_19_Madagascar_IPM_62198_2021_EPI_ISL_7722850_2021_05_11	sars_cov_2	2020-08-11	EPI_ISL_3716580	Africa	Madagascar	Antananarivo	Bongolava	Tsiroanomandidy
hCoV_19_Madagascar_IPM_62284_2021_EPI_ISL_7722851_2021_05_17	sars_cov_2	2020-08-18	EPI_ISL_3716597	Africa	Madagascar	Antananarivo	Bongolava	Tsiroanomandidy
hCoV_19_Madagascar_IPM_62286_2021_EPI_ISL_7722852_2021_05_17	sars_cov_2	2020-08-20	EPI_ISL_3716598	Africa	Madagascar	Antananarivo	Bongolava	Tsiroanomandidy
hCoV_19_Madagascar_IPM_62297_2021_EPI_ISL_7722853_2021_05_17	sars_cov_2	2020-08-19	EPI_ISL_3716599	Africa	Madagascar	Antananarivo	Bongolava	Tsiroanomandidy
hCoV_19_Madagascar_IPM_62345_2021_EPI_ISL_7722858_2021_05_19	sars_cov_2	2020-08-27	EPI_ISL_3716605	Africa	Madagascar	Antananarivo	Bongolava	Tsiroanomandidy
hCoV_19_Madagascar_IPM_62350_2021_EPI_ISL_7722862_2021_05_20	sars_cov_2	2020-09-04	EPI_ISL_3716614	Africa	Madagascar	Antananarivo	Bongolava	Tsiroanomandidy
hCoV_19_Madagascar_IPM_62355_2021_EPI_ISL_7722866_2021_05_20	sars_cov_2	2020-08-30	EPI_ISL_3716615	Africa	Madagascar	Antananarivo	Bongolava	Tsiroanomandidy
hCoV_19_Madagascar_IPM_62356_2021_EPI_ISL_7722871_2021_05_20	sars_cov_2	2020-09-03	EPI_ISL_3716616	Africa	Madagascar	Antananarivo	Bongolava	Tsiroanomandidy
hCoV_19_Madagascar_IPM_62416_2021_EPI_ISL_7722876_2021_05_25	sars_cov_2	2020-12-11	EPI_ISL_3716687	Africa	Madagascar	Antananarivo	Bongolava	Tsiroanomandidy
hCoV_19_Madagascar_IPM_62418_2021_EPI_ISL_7722880_2021_05_25	sars_cov_2	2021-04-07	EPI_ISL_4297706	Africa	Madagascar	Antananarivo	Bongolava	Tsiroanomandidy
hCoV_19_Madagascar_IPM_62421_2021_EPI_ISL_7722883_2021_05_25	sars_cov_2	2021-04-07	EPI_ISL_4297707	Africa	Madagascar	Antananarivo	Bongolava	Tsiroanomandidy
hCoV_19_Madagascar_LA2M_112150_2021_EPI_ISL_7722887_2021_07_10	sars_cov_2	2021-04-09	EPI_ISL_4297709	Africa	Madagascar	Antananarivo	Bongolava	Tsiroanomandidy
hCoV_19_Madagascar_LA2M_112151_2021_EPI_ISL_7722891_2021_07_10	sars_cov_2	2021-04-08	EPI_ISL_4297713	Africa	Madagascar	Antananarivo	Bongolava	Tsiroanomandidy
hCoV_19_Madagascar_LA2M_112161_2021_EPI_ISL_7722894_2021_07_10	sars_cov_2	2021-04-08	EPI_ISL_4297714	Africa	Madagascar	Antananarivo	Bongolava	Tsiroanomandidy
hCoV_19_Madagascar_LA2M_112743_2021_EPI_ISL_7722899_2021_07_13	sars_cov_2	2021-04-09	EPI_ISL_4297715	Africa	Madagascar	Antananarivo	Bongolava	Tsiroanomandidy
hCoV_19_Madagascar_LA2M_113156_2021_EPI_ISL_7722903_2021_07_16	sars_cov_2	2021-04-08	EPI_ISL_4297716	Africa	Madagascar	Antananarivo	Bongolava	Tsiroanomandidy
hCoV_19_Madagascar_LA2M_113456_2021_EPI_ISL_7722909_2021_07_18	sars_cov_2	2021-03-29	EPI_ISL_4297733	Africa	Madagascar	Antananarivo	Bongolava	Tsiroanomandidy
hCoV_19_Madagascar_LA2M_111998_2021_EPI_ISL_8523893_2021_07_08	sars_cov_2	2021-04-08	EPI_ISL_4297736	Africa	Madagascar	Antananarivo	Bongolava	Tsiroanomandidy
hCoV_19_Madagascar_LA2M_112149_2021_EPI_ISL_8523894_2021_07_10	sars_cov_2	2021-04-08	EPI_ISL_4297737	Africa	Madagascar	Antananarivo	Bongolava	Tsiroanomandidy
hCoV_19_Madagascar_IPM_62045_2021_EPI_ISL_8523895_2021_05_06	sars_cov_2	2021-02-02	EPI_ISL_3716700	Africa	Madagascar	Fianarantsoa	Haute-Matsiatra	Vohibato
